idx,Date_,Close,Volume,Open,High,Low
262,2023-01-03,1846.1,206818.0,1831.8,1856.6,1831.3
261,2023-01-04,1859.0,193760.0,1845.2,1871.3,1842.0
260,2023-01-05,1840.6,177851.0,1861.2,1864.3,1829.9
259,2023-01-06,1869.7,208187.0,1835.9,1875.2,1835.2
258,2023-01-09,1877.8,183869.0,1872.8,1886.4,1869.3
257,2023-01-10,1876.5,150115.0,1875.7,1885.2,1872.0
